EMPRESA_SIGLA;EMPRESA_NOME;EMPRESA_NACIONALIDADE;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_ORIGEM_PAIS;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;AEROPORTO_DE_DESTINO_PAIS;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;ASK;RPK;COMBUSTIVEL_LITROS;DISTANCIA_VOADA_KM;DECOLAGENS;ASSENTOS;HORAS_VOADAS;TAXA_OCUPACAO_RPK_ASK;COMBUSTIVEL_POR_PASSAGEIRO_L;COMBUSTIVEL_POR_KM_L_KM;PASSAGEIROS_POR_DECOLAGEM
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;317.0;650934.0;588584.0;22664.0;3741.0;3.0;522.0;7.55;0.9042145593869731;71.49526813880126;6.0582731889869015;105.66666666666667
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;14796.0;23323950.0;19457889.0;703505.0;139545.0;105.0;17550.0;234.86;0.8342450142450143;47.546972154636386;5.041420330359382;140.9142857142857
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;KMCO;ORLANDO, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;INTERNACIONAL;REGULAR;0.0;1581188.0;1397620.0;43126.0;4172.0;1.0;379.0;5.27;0.8839050131926122;;10.337008628954937;0.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;INTERNACIONAL;REGULAR;628.0;2698392.0;2434756.0;70866.0;15508.0;4.0;696.0;22.47;0.9022988505747126;112.84394904458598;4.569641475367552;157.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBBE;BELÉM;PA;NORTE;BRASIL;DOMÉSTICA;REGULAR;6216.0;9763284.0;8074584.0;244137.0;45465.0;35.0;7516.0;70.34;0.8270356572645023;39.27557915057915;5.369778950841306;177.6
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;DOMÉSTICA;NÃO REGULAR;54.0;428560.0;105192.0;10503.0;1948.0;1.0;220.0;2.77;0.24545454545454545;194.5;5.3916837782340865;54.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;DOMÉSTICA;REGULAR;14977.0;33330280.0;29175196.0;831594.0;161684.0;83.0;17110.0;236.32;0.8753360607831677;55.52473793149496;5.14332896266792;180.44578313253012
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBBV;BOA VISTA;RR;NORTE;BRASIL;DOMÉSTICA;REGULAR;1082.0;915936.0;711956.0;30193.0;5264.0;8.0;1392.0;9.84;0.7772988505747126;27.904805914972272;5.735752279635259;135.25
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;DOMÉSTICA;REGULAR;167.0;479892.0;460586.0;11366.0;2758.0;1.0;174.0;3.72;0.9597701149425287;68.05988023952096;4.121102248005801;167.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;DOMÉSTICA;REGULAR;1413.0;4206400.0;3377070.0;95242.0;19120.0;8.0;1760.0;26.3;0.8028409090909091;67.40410474168436;4.981276150627615;176.625
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;1351.0;5116059.0;4447014.0;134261.0;25623.0;9.0;1797.0;36.75;0.869226488592098;99.37897853441895;5.239862623424267;150.11111111111111
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;DOMÉSTICA;NÃO REGULAR;144.0;596037.0;388368.0;22146.0;2697.0;1.0;221.0;4.52;0.6515837104072398;153.79166666666666;8.21134593993326;144.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;15755.0;48535212.0;41363889.0;1363366.0;218457.0;81.0;17996.0;326.53;0.852244943320738;86.53544906378927;6.240889511437033;194.50617283950618
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBEG;MANAUS;AM;NORTE;BRASIL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;0.0;576400.0;542340.0;15647.0;2620.0;1.0;220.0;4.72;0.9409090909090909;;5.9721374045801525;0.0
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;DOMÉSTICA;REGULAR;730.0;1125520.0;933670.0;28104.0;5116.0;4.0;880.0;7.87;0.8295454545454546;38.4986301369863;5.493354182955434;182.5
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;DOMÉSTICA;REGULAR;669.0;469040.0;356577.0;14141.0;2132.0;4.0;880.0;4.18;0.7602272727272728;21.137518684603886;6.632739212007505;167.25
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;7827.0;10277800.0;9296040.0;297024.0;57820.0;49.0;8710.0;97.44;0.9044776119402985;37.94863932541204;5.137046004842615;159.73469387755102
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;15930.0;15852200.0;13460850.0;522077.0;77740.0;92.0;18760.0;165.25;0.8491471215351812;32.77319522912743;6.715680473372781;173.15217391304347
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;1098.0;1366272.0;1302228.0;41533.0;9488.0;8.0;1152.0;15.27;0.953125;37.826047358834245;4.377424114671164;137.25
TAM;TAM LINHAS AÉREAS S.A.;BRASILEIRA;2019;1;SBFI;FOZ DO IGUAÇU;PR;SUL;BRASIL;SBSP;SÃO PAULO;SP;SUDESTE;BRASIL;DOMÉSTICA;REGULAR;5094.0;4605810.0;4140303.0;158450.0;28735.0;35.0;5610.0;53.25;0.8989304812834225;31.105221829603455;5.514181311988864;145.54285714285714
